Stock Name,Stock Code,Industry,Volatility,Isenvironmentallyfriendly,Ishalal,Isvegan,Isnolobbying
Apple,APPL,Technology,low,TRUE,,TRUE,FALSE
Microsoft,MSFT,Technology,low,TRUE,,TRUE,FALSE
Amazon,AMZN,Technology,low,FALSE,,TRUE,FALSE
Cloudflare,NET,Technology,medium,TRUE,,TRUE,FALSE
Facebook (Meta),FB,Technology,medium,FALSE,,TRUE,FALSE
Alphabet,GOOG,Technology,low,TRUE,,TRUE,FALSE
Salesforce,CRM,Technology,low,TRUE,,TRUE,FALSE
HubSpot,HUBS,Technology,medium,TRUE,,TRUE,TRUE
Zoom,ZM,Technology,medium,TRUE,,TRUE,TRUE
Johnson & Johnson,JNJ,Healthcare,low,TRUE,,FALSE,FALSE
Eli Lilly,LLY,Healthcare,medium,FALSE,,FALSE,TRUE
Pfizer,PFE,Healthcare,medium,FALSE,,FALSE,FALSE
Medtronic,MDT,Healthcare,low,FALSE,,TRUE,FALSE
Moderna,MRNA,Healthcare,medium,FALSE,,FALSE,FALSE
CVS,CVS,Healthcare,medium,TRUE,,TRUE,TRUE
3M,MMM,Healthcare,low,FALSE,,FALSE,TRUE
Humana,HUM,Healthcare,medium,TRUE,,FALSE,TRUE
Sage Therapeutic,SAG,Healthcare,medium,FALSE,,FALSE,FALSE
Wells Fargo,WFC,Finance,medium,FALSE,,TRUE,FALSE
Goldman Sachs Group,GS,Finance,low,TRUE,,TRUE,FALSE
Morgan Stanley,MS,Finance,low,TRUE,,TRUE,FALSE
Western Alliance,WAL,Finance,medium,TRUE,,TRUE,TRUE
Square,SQ,Finance,medium,TRUE,,TRUE,TRUE
JPMorgan Chase,JPM,Finance,low,TRUE,,TRUE,FALSE
Visa,V,Finance,low,TRUE,,TRUE,TRUE
Discover,DISCA,Finance,low,TRUE,,TRUE,TRUE
PayPal,TYPL,Finance,medium,TRUE,,TRUE,TRUE
Home Depot,HD,Consumer,low,TRUE,,TRUE,TRUE
Nike,NKE,Consumer,low,TRUE,,TRUE,FALSE
eBay,EBAY,Consumer,medium,TRUE,,TRUE,TRUE
Chipotle,CMG,Consumer,low,FALSE,,FALSE,TRUE
GameStop,GME,Consumer,high,TRUE,,TRUE,TRUE
Nordstrom Inc,JWN,Consumer,medium,TRUE,,FALSE,TRUE
Ross Stores,ROST,Consumer,medium,TRUE,,TRUE,TRUE
Foot Locker,FL,Consumer,medium,TRUE,,TRUE,TRUE
Qurate Retail,QRTEA,Consumer,high,FALSE,,FALSE,TRUE
Comcast,CMCSA,Communication,low,FALSE,,TRUE,FALSE
T-Mobile,TMUS,Communication,medium,FALSE,,TRUE,FALSE
ViacomCBS,VIAC,Communication,medium,TRUE,,TRUE,FALSE
Netflix,NFLX,Communication,medium,TRUE,,TRUE,FALSE
Verizon,VZ,Communication,low,TRUE,,TRUE,FALSE
AT&T,T,Communication,low,FALSE,,TRUE,TRUE
Ericsson,ERIC,Communication,medium,TRUE,,TRUE,TRUE
Lockheed Martin,LMT,Industrials,low,FALSE,,TRUE,FALSE
Honeywell,HON,Industrials,low,FALSE,,TRUE,FALSE
United Airlines Holdings,UAL,Industrials,medium,FALSE,,TRUE,FALSE
Eaton Corp,ETN,Industrials,low,TRUE,,TRUE,FALSE
Plug Power,PLUG,Industrials,high,FALSE,,TRUE,TRUE
Generac Holdings,GNRC,Industrials,medium,FALSE,,TRUE,TRUE
UPS,UPS,Industrials,low,TRUE,,TRUE,TRUE
Berkshire Hathaway,BRK.A,Industrials,medium,TRUE,,TRUE,FALSE
Boeing,BA,Industrials,medium,FALSE,,TRUE,FALSE
Caterpillar,CAT,Industrials,low,FALSE,,TRUE,TRUE
Deere,DE,Industrials,medium,TRUE,,TRUE,TRUE
Procter & Gamble,PG,Consumer,low,FALSE,,TRUE,FALSE
Coco-cola,KO,Consumer,low,TRUE,,TRUE,TRUE
General Mills,GIS,Consumer,low,TRUE,,TRUE,TRUE
Herbalife,HLF,Consumer,medium,FALSE,,FALSE,TRUE
